experiment_id,template,question_id,question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,timestamp
official_rag_prompt_engineering_20250812_224351,instructional,0,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,2025-08-12T22:52:37.317229
official_rag_prompt_engineering_20250812_224351,instructional,1,When were the Normans in Normandy?,10th and 11th centuries,10th century -- 15th century,0.0,0.25,0.25,5,2025-08-12T22:52:38.145256
official_rag_prompt_engineering_20250812_224351,instructional,2,From which countries did the Norse originate?,"Denmark, Iceland and Norway",iceland,0.0,0.4,0.25,1,2025-08-12T22:52:38.748263
official_rag_prompt_engineering_20250812_224351,instructional,3,Who was the Norse leader?,Rollo,whoopi goldberg,0.0,0.0,0.0,2,2025-08-12T22:52:39.481315
official_rag_prompt_engineering_20250812_224351,instructional,4,What century did the Normans first gain their separate identity?,10th century,the ninth century,0.0,0.4,0.5,3,2025-08-12T22:52:40.053646
official_rag_prompt_engineering_20250812_224351,instructional,5,Who was the duke in the battle of Hastings?,William the Conqueror,normandy duke of normandy,0.0,0.0,0.0,4,2025-08-12T22:52:40.786473
official_rag_prompt_engineering_20250812_224351,instructional,6,Who ruled the duchy of Normandy,Richard I,king charles iii,0.0,0.0,0.0,3,2025-08-12T22:52:41.541313
official_rag_prompt_engineering_20250812_224351,instructional,7,What religion were the Normans,Catholic,islam,0.0,0.0,0.0,1,2025-08-12T22:52:42.160669
official_rag_prompt_engineering_20250812_224351,instructional,8,What is the original meaning of the word Norman?,Viking,norman,0.0,0.0,0.0,1,2025-08-12T22:52:42.612699
official_rag_prompt_engineering_20250812_224351,instructional,9,When was the Latin version of the word Norman first recorded?,9th century,the 6th century ad,0.0,0.3333333333333333,0.5,4,2025-08-12T22:52:43.197164
official_rag_prompt_engineering_20250812_224351,instructional,10,When was the Duchy of Normandy founded?,911,1066,0.0,0.0,0.0,1,2025-08-12T22:52:43.653722
official_rag_prompt_engineering_20250812_224351,instructional,11,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,King Charles III,the franks,0.0,0.0,0.0,2,2025-08-12T22:52:44.383991
official_rag_prompt_engineering_20250812_224351,instructional,12,What river originally bounded the Duchy,Seine,rhode island,0.0,0.0,0.0,2,2025-08-12T22:52:44.979267
official_rag_prompt_engineering_20250812_224351,instructional,13,Who upon arriving gave the original viking settlers a common identity?,Rollo,the Normans,0.0,0.0,0.0,2,2025-08-12T22:52:45.682490
official_rag_prompt_engineering_20250812_224351,instructional,14,What was the Norman religion?,Catholicism,christianity,0.0,0.0,0.0,1,2025-08-12T22:52:46.166408
official_rag_prompt_engineering_20250812_224351,instructional,15,What part of France were the Normans located?,north,what is now france,0.0,0.0,0.0,4,2025-08-12T22:52:46.765926
official_rag_prompt_engineering_20250812_224351,instructional,16,What was one of the Norman's major exports?,fighting horsemen,"266,827",0.0,0.0,0.0,1,2025-08-12T22:52:47.333915
official_rag_prompt_engineering_20250812_224351,instructional,17,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?",Seljuk Turks,byzantine empire,0.0,0.0,0.0,2,2025-08-12T22:52:47.938832
official_rag_prompt_engineering_20250812_224351,instructional,18,When did Herve serve as a Byzantine general?,1050s,during the byzantine war,0.0,0.0,0.0,4,2025-08-12T22:52:48.614567
official_rag_prompt_engineering_20250812_224351,instructional,19,When did Robert Crispin go up against the Turks?,1060s,1998,0.0,0.0,0.0,1,2025-08-12T22:52:49.288361
official_rag_prompt_engineering_20250812_224351,instructional,20,Who ruined Roussel de Bailleul's plans for an independent state?,Alexius Komnenos,,0.0,0.0,0.0,0,2025-08-12T22:52:49.715801
official_rag_prompt_engineering_20250812_224351,instructional,21,What was the name of the Norman castle?,Afranji,`` norman castle '',0.0,0.0,0.0,4,2025-08-12T22:52:50.334046
official_rag_prompt_engineering_20250812_224351,instructional,22,Who was the leader when the Franks entered the Euphrates valley?,Oursel,2018,0.0,0.0,0.0,1,2025-08-12T22:52:50.761234
official_rag_prompt_engineering_20250812_224351,instructional,23,Who did the Normans team up with in Anatolia?,Turkish forces,turkey,0.0,0.0,0.0,1,2025-08-12T22:52:51.352768
official_rag_prompt_engineering_20250812_224351,instructional,24,What were the origins of the Raouliii family?,Norman mercenary,"normandy, france",0.0,0.0,0.0,2,2025-08-12T22:52:51.970314
official_rag_prompt_engineering_20250812_224351,instructional,25,What was the name of the count of Apulia ,Robert Guiscard,giovanni branca,0.0,0.0,0.0,2,2025-08-12T22:52:52.568676
official_rag_prompt_engineering_20250812_224351,instructional,26,When did Dyrrachium  fall to the Normans?,1082,2009,0.0,0.0,0.0,1,2025-08-12T22:52:53.219776
official_rag_prompt_engineering_20250812_224351,instructional,27,How many men were in Robert's army?,"30,000",about a million men,0.0,0.0,0.0,4,2025-08-12T22:52:53.831518
official_rag_prompt_engineering_20250812_224351,instructional,28,Where did the Normans and Byzantines sign the peace treaty?,Deabolis,constantinople,0.0,0.0,0.0,1,2025-08-12T22:52:54.420031
official_rag_prompt_engineering_20250812_224351,instructional,29,Who was Robert's son?,Bohemond,robert's son,0.0,0.0,0.0,2,2025-08-12T22:52:55.071234
official_rag_prompt_engineering_20250812_224351,instructional,30,What river was Petrela located by?,Deabolis,river sita,0.0,0.0,0.0,2,2025-08-12T22:52:55.598801
official_rag_prompt_engineering_20250812_224351,instructional,31,When did the Normans attack Dyrrachium?,1185,when,0.0,0.0,0.0,1,2025-08-12T22:52:56.321430
official_rag_prompt_engineering_20250812_224351,instructional,32,What was the naval base called?,Dyrrachium,commander,0.0,0.0,0.0,1,2025-08-12T22:52:57.070898
official_rag_prompt_engineering_20250812_224351,instructional,33,Where was Dyrrachium located?,the Adriatic,north america,0.0,0.0,0.0,2,2025-08-12T22:52:57.746463
