experiment_id,template,question_id,question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,timestamp
official_rag_prompt_engineering_20250814_042444,instructional,0,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,2025-08-14T04:30:38.835124
official_rag_prompt_engineering_20250814_042444,instructional,1,When were the Normans in Normandy?,10th and 11th centuries,10th century -- 15th century,0.0,0.25,0.25,5,2025-08-14T04:30:40.224760
official_rag_prompt_engineering_20250814_042444,instructional,2,From which countries did the Norse originate?,"Denmark, Iceland and Norway",iceland,0.0,0.4,0.25,1,2025-08-14T04:30:41.144313
official_rag_prompt_engineering_20250814_042444,instructional,3,Who was the Norse leader?,Rollo,whoopi goldberg,0.0,0.0,0.0,2,2025-08-14T04:30:42.946745
official_rag_prompt_engineering_20250814_042444,instructional,4,What century did the Normans first gain their separate identity?,10th century,the ninth century,0.0,0.4,0.5,3,2025-08-14T04:30:44.482983
official_rag_prompt_engineering_20250814_042444,instructional,5,Who was the duke in the battle of Hastings?,William the Conqueror,normandy duke of normandy,0.0,0.0,0.0,4,2025-08-14T04:30:46.317459
official_rag_prompt_engineering_20250814_042444,instructional,6,Who ruled the duchy of Normandy,Richard I,king charles iii,0.0,0.0,0.0,3,2025-08-14T04:30:48.346925
official_rag_prompt_engineering_20250814_042444,instructional,7,What religion were the Normans,Catholic,islam,0.0,0.0,0.0,1,2025-08-14T04:30:49.816509
official_rag_prompt_engineering_20250814_042444,instructional,8,What is the original meaning of the word Norman?,Viking,norman,0.0,0.0,0.0,1,2025-08-14T04:30:50.938906
official_rag_prompt_engineering_20250814_042444,instructional,9,When was the Latin version of the word Norman first recorded?,9th century,the 6th century ad,0.0,0.3333333333333333,0.5,4,2025-08-14T04:30:52.352600
official_rag_prompt_engineering_20250814_042444,instructional,10,When was the Duchy of Normandy founded?,911,1066,0.0,0.0,0.0,1,2025-08-14T04:30:53.231886
official_rag_prompt_engineering_20250814_042444,instructional,11,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,King Charles III,the franks,0.0,0.0,0.0,2,2025-08-14T04:30:54.662550
official_rag_prompt_engineering_20250814_042444,instructional,12,What river originally bounded the Duchy,Seine,rhode island,0.0,0.0,0.0,2,2025-08-14T04:30:55.675734
official_rag_prompt_engineering_20250814_042444,instructional,13,Who upon arriving gave the original viking settlers a common identity?,Rollo,the Normans,0.0,0.0,0.0,2,2025-08-14T04:30:56.912986
