experiment_id,template,template_purpose,dataset,question_id,question,formatted_prompt,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,timestamp
multi_dataset_20250711_140522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,3,when was the last time anyone was on the moon,when was the last time anyone was on the moon?,14 December 1972 UTC,14 december 1972 utc,1.0,1.0,1.0,4,2025-07-11T14:08:55.980431
multi_dataset_20250711_140522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,4,who wrote he ain't heavy he's my brother lyrics,who wrote he ain't heavy he's my brother lyrics?,Bobby Scott,bob russell,0.0,0.0,0.0,2,2025-07-11T14:08:56.274516
multi_dataset_20250711_140522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,NQ-Open,5,how many seasons of the bastard executioner are there,how many seasons of the bastard executioner are there?,one,one,1.0,1.0,1.0,1,2025-07-11T14:08:57.185798
multi_dataset_20250711_140522,precise_instruction,Explicit instruction for precision and brevity,NQ-Open,3,when was the last time anyone was on the moon,"Give a factual, concise answer to: when was the last time anyone was on the moon",14 December 1972 UTC,14 december 1972 utc,1.0,1.0,1.0,4,2025-07-11T14:09:00.273111
multi_dataset_20250711_140522,precise_instruction,Explicit instruction for precision and brevity,NQ-Open,4,who wrote he ain't heavy he's my brother lyrics,"Give a factual, concise answer to: who wrote he ain't heavy he's my brother lyrics",Bobby Scott,bob russell,0.0,0.0,0.0,2,2025-07-11T14:09:00.443532
multi_dataset_20250711_140522,precise_instruction,Explicit instruction for precision and brevity,NQ-Open,5,how many seasons of the bastard executioner are there,"Give a factual, concise answer to: how many seasons of the bastard executioner are there",one,9,0.0,0.0,0.0,1,2025-07-11T14:09:00.908276
multi_dataset_20250711_140522,retrieval_focused,Explicitly leverages RAG's retrieval mechanism,NQ-Open,3,when was the last time anyone was on the moon,"Based on retrieved information, answer: when was the last time anyone was on the moon",14 December 1972 UTC,14 december 1972 utc,1.0,1.0,1.0,4,2025-07-11T14:09:03.937485
multi_dataset_20250711_140522,retrieval_focused,Explicitly leverages RAG's retrieval mechanism,NQ-Open,4,who wrote he ain't heavy he's my brother lyrics,"Based on retrieved information, answer: who wrote he ain't heavy he's my brother lyrics",Bobby Scott,bob russell,0.0,0.0,0.0,2,2025-07-11T14:09:04.116317
multi_dataset_20250711_140522,retrieval_focused,Explicitly leverages RAG's retrieval mechanism,NQ-Open,5,how many seasons of the bastard executioner are there,"Based on retrieved information, answer: how many seasons of the bastard executioner are there",one,one,1.0,1.0,1.0,1,2025-07-11T14:09:04.347618
multi_dataset_20250711_140522,confident_direct,Direct command for confident responses,NQ-Open,3,when was the last time anyone was on the moon,Answer directly: when was the last time anyone was on the moon,14 December 1972 UTC,14 december 1972 utc,1.0,1.0,1.0,4,2025-07-11T14:09:08.044018
multi_dataset_20250711_140522,confident_direct,Direct command for confident responses,NQ-Open,4,who wrote he ain't heavy he's my brother lyrics,Answer directly: who wrote he ain't heavy he's my brother lyrics,Bobby Scott,bob russell,0.0,0.0,0.0,2,2025-07-11T14:09:08.210002
multi_dataset_20250711_140522,confident_direct,Direct command for confident responses,NQ-Open,5,how many seasons of the bastard executioner are there,Answer directly: how many seasons of the bastard executioner are there,one,one,1.0,1.0,1.0,1,2025-07-11T14:09:08.628300
multi_dataset_20250711_140522,context_guided,Emphasizes context utilization,NQ-Open,3,when was the last time anyone was on the moon,"Using available context, answer: when was the last time anyone was on the moon",14 December 1972 UTC,14 december 1972 utc,1.0,1.0,1.0,4,2025-07-11T14:09:12.243511
multi_dataset_20250711_140522,context_guided,Emphasizes context utilization,NQ-Open,4,who wrote he ain't heavy he's my brother lyrics,"Using available context, answer: who wrote he ain't heavy he's my brother lyrics",Bobby Scott,bob russell,0.0,0.0,0.0,2,2025-07-11T14:09:12.609569
multi_dataset_20250711_140522,context_guided,Emphasizes context utilization,NQ-Open,5,how many seasons of the bastard executioner are there,"Using available context, answer: how many seasons of the bastard executioner are there",one,third season,0.0,0.0,0.0,2,2025-07-11T14:09:12.756280
multi_dataset_20250711_140522,conversational,Conversational Q&A format,NQ-Open,3,when was the last time anyone was on the moon,Q: when was the last time anyone was on the moon A:,14 December 1972 UTC,apollo 17,0.0,0.0,0.0,2,2025-07-11T14:09:16.187892
multi_dataset_20250711_140522,conversational,Conversational Q&A format,NQ-Open,4,who wrote he ain't heavy he's my brother lyrics,Q: who wrote he ain't heavy he's my brother lyrics A:,Bobby Scott,bob russell,0.0,0.0,0.0,2,2025-07-11T14:09:16.620603
multi_dataset_20250711_140522,conversational,Conversational Q&A format,NQ-Open,5,how many seasons of the bastard executioner are there,Q: how many seasons of the bastard executioner are there A:,one,one,1.0,1.0,1.0,1,2025-07-11T14:09:16.791804
multi_dataset_20250711_140522,basic,Baseline - no prompt engineering,NQ-Open,3,when was the last time anyone was on the moon,when was the last time anyone was on the moon,14 December 1972 UTC,14 december 1972 utc,1.0,1.0,1.0,4,2025-07-11T14:09:20.240433
multi_dataset_20250711_140522,basic,Baseline - no prompt engineering,NQ-Open,4,who wrote he ain't heavy he's my brother lyrics,who wrote he ain't heavy he's my brother lyrics,Bobby Scott,bob russell,0.0,0.0,0.0,2,2025-07-11T14:09:20.396259
multi_dataset_20250711_140522,basic,Baseline - no prompt engineering,NQ-Open,5,how many seasons of the bastard executioner are there,how many seasons of the bastard executioner are there,one,11,0.0,0.0,0.0,1,2025-07-11T14:09:20.631333
