experiment_id,template,question_id,question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,question_type,timestamp
minimal_20250708_182558,question_mark,0,What is the capital of France,Paris,paris,1.0,1.0,1.0,1,Missing punctuation - question mark should help,2025-07-08T18:30:32.863750
minimal_20250708_182558,question_mark,1,Who wrote Hamlet,William Shakespeare,william shakespeare,1.0,1.0,1.0,2,Statement form - question mark should improve,2025-07-08T18:30:33.232199
minimal_20250708_182558,question_mark,2,When did World War II end,1945,2 september 1945,0.0,0.5,1.0,3,Missing question mark,2025-07-08T18:30:33.501773
minimal_20250708_182558,question_mark,3,Tell me the largest planet,Jupiter,greenwich,0.0,0.0,0.0,1,Command form - politeness might help,2025-07-08T18:30:33.750262
minimal_20250708_182558,question_mark,4,Give me the chemical symbol for gold,Au,Au,1.0,1.0,1.0,1,Imperative form - polite request better,2025-07-08T18:30:33.976591
minimal_20250708_182558,question_mark,5,What is the speed of light,299792458 meters per second,"299,792,458 metres per second",0.0,0.5,0.5,4,Could be vague - precision request should help,2025-07-08T18:30:34.322914
minimal_20250708_182558,question_mark,6,Population of Tokyo,37 million,"38,140,000",0.0,0.0,0.0,1,Incomplete question - precision should help,2025-07-08T18:30:34.594002
minimal_20250708_182558,question_mark,7,Photosynthesis,process where plants make food from sunlight,photosynthesis,0.0,0.0,0.0,1,Single word - 'what is' framing should help,2025-07-08T18:30:34.925804
minimal_20250708_182558,question_mark,8,Democracy,government by the people,democratic,0.0,0.0,0.0,1,Single concept - definition framing helps,2025-07-08T18:30:35.172882
minimal_20250708_182558,question_mark,9,What color is the sky?,blue,blue,1.0,1.0,1.0,1,Perfect question - basic should win,2025-07-08T18:30:35.386584
minimal_20250708_182558,question_mark,10,How many days in a week?,seven,seven,1.0,1.0,1.0,1,Simple count - basic should be fine,2025-07-08T18:30:35.556499
minimal_20250708_182558,question_mark,11,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,SQuAD baseline,2025-07-08T18:30:35.834803
minimal_20250708_182558,question_mark,12,When were the Normans in Normandy,10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,SQuAD baseline,2025-07-08T18:30:36.182828
minimal_20250708_182558,question_mark,13,From which countries did the Norse originate?,"Denmark, Iceland and Norway",norway,0.0,0.4,0.25,1,SQuAD baseline,2025-07-08T18:30:36.441360
minimal_20250708_182558,question_mark,14,Who was the Norse leader?,Rollo,cnut,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T18:30:36.685651
minimal_20250708_182558,question_mark,15,What century did the Normans first gain their separate identity?,10th century,the ninth century,0.0,0.4,0.5,3,SQuAD baseline,2025-07-08T18:30:36.980282
