experiment_id,template,template_purpose,dataset,question_id,question,formatted_prompt,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,timestamp
multi_dataset_20250711_140522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,TriviaQA,6,Who was the man behind The Chipmunks,Who was the man behind The Chipmunks?,David Seville,"ross bagdasarian, sr.",0.0,0.0,0.0,3,2025-07-11T14:08:58.180146
multi_dataset_20250711_140522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,TriviaQA,7,Which Lloyd Webber musical premiered in the US on 10th December 1993,Which Lloyd Webber musical premiered in the US on 10th December 1993?,Sunset Blvd,the goodbye girl,0.0,0.0,0.0,3,2025-07-11T14:08:58.393004
multi_dataset_20250711_140522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,TriviaQA,8,Who was the next British Prime Minister after Arthur Balfour,Who was the next British Prime Minister after Arthur Balfour?,Sir Henry Campbell-Bannerman,william ewart gladstone,0.0,0.0,0.0,3,2025-07-11T14:08:58.910561
multi_dataset_20250711_140522,precise_instruction,Explicit instruction for precision and brevity,TriviaQA,6,Who was the man behind The Chipmunks,"Give a factual, concise answer to: Who was the man behind The Chipmunks",David Seville,patrick warburton,0.0,0.0,0.0,2,2025-07-11T14:09:01.693137
multi_dataset_20250711_140522,precise_instruction,Explicit instruction for precision and brevity,TriviaQA,7,Which Lloyd Webber musical premiered in the US on 10th December 1993,"Give a factual, concise answer to: Which Lloyd Webber musical premiered in the US on 10th December 1993",Sunset Blvd,dave,0.0,0.0,0.0,1,2025-07-11T14:09:02.366110
multi_dataset_20250711_140522,precise_instruction,Explicit instruction for precision and brevity,TriviaQA,8,Who was the next British Prime Minister after Arthur Balfour,"Give a factual, concise answer to: Who was the next British Prime Minister after Arthur Balfour",Sir Henry Campbell-Bannerman,william ewart gladstone,0.0,0.0,0.0,3,2025-07-11T14:09:02.672862
multi_dataset_20250711_140522,retrieval_focused,Explicitly leverages RAG's retrieval mechanism,TriviaQA,6,Who was the man behind The Chipmunks,"Based on retrieved information, answer: Who was the man behind The Chipmunks",David Seville,"ross bagdasarian, sr.",0.0,0.0,0.0,3,2025-07-11T14:09:05.215233
multi_dataset_20250711_140522,retrieval_focused,Explicitly leverages RAG's retrieval mechanism,TriviaQA,7,Which Lloyd Webber musical premiered in the US on 10th December 1993,"Based on retrieved information, answer: Which Lloyd Webber musical premiered in the US on 10th December 1993",Sunset Blvd,the goodbye girl,0.0,0.0,0.0,3,2025-07-11T14:09:05.964981
multi_dataset_20250711_140522,retrieval_focused,Explicitly leverages RAG's retrieval mechanism,TriviaQA,8,Who was the next British Prime Minister after Arthur Balfour,"Based on retrieved information, answer: Who was the next British Prime Minister after Arthur Balfour",Sir Henry Campbell-Bannerman,william ewart gladstone,0.0,0.0,0.0,3,2025-07-11T14:09:06.475632
multi_dataset_20250711_140522,confident_direct,Direct command for confident responses,TriviaQA,6,Who was the man behind The Chipmunks,Answer directly: Who was the man behind The Chipmunks,David Seville,"ross bagdasarian, sr.",0.0,0.0,0.0,3,2025-07-11T14:09:09.571019
multi_dataset_20250711_140522,confident_direct,Direct command for confident responses,TriviaQA,7,Which Lloyd Webber musical premiered in the US on 10th December 1993,Answer directly: Which Lloyd Webber musical premiered in the US on 10th December 1993,Sunset Blvd,the goodbye girl,0.0,0.0,0.0,3,2025-07-11T14:09:10.379858
multi_dataset_20250711_140522,confident_direct,Direct command for confident responses,TriviaQA,8,Who was the next British Prime Minister after Arthur Balfour,Answer directly: Who was the next British Prime Minister after Arthur Balfour,Sir Henry Campbell-Bannerman,,0.0,0.0,0.0,0,2025-07-11T14:09:10.797788
multi_dataset_20250711_140522,context_guided,Emphasizes context utilization,TriviaQA,6,Who was the man behind The Chipmunks,"Using available context, answer: Who was the man behind The Chipmunks",David Seville,ross bagdasarian,0.0,0.0,0.0,2,2025-07-11T14:09:13.820756
multi_dataset_20250711_140522,context_guided,Emphasizes context utilization,TriviaQA,7,Which Lloyd Webber musical premiered in the US on 10th December 1993,"Using available context, answer: Which Lloyd Webber musical premiered in the US on 10th December 1993",Sunset Blvd,the goodbye girl,0.0,0.0,0.0,3,2025-07-11T14:09:14.564744
multi_dataset_20250711_140522,context_guided,Emphasizes context utilization,TriviaQA,8,Who was the next British Prime Minister after Arthur Balfour,"Using available context, answer: Who was the next British Prime Minister after Arthur Balfour",Sir Henry Campbell-Bannerman,,0.0,0.0,0.0,0,2025-07-11T14:09:14.715193
multi_dataset_20250711_140522,conversational,Conversational Q&A format,TriviaQA,6,Who was the man behind The Chipmunks,Q: Who was the man behind The Chipmunks A:,David Seville,"ross bagdasarian, sr.",0.0,0.0,0.0,3,2025-07-11T14:09:17.907079
multi_dataset_20250711_140522,conversational,Conversational Q&A format,TriviaQA,7,Which Lloyd Webber musical premiered in the US on 10th December 1993,Q: Which Lloyd Webber musical premiered in the US on 10th December 1993 A:,Sunset Blvd,q,0.0,0.0,0.0,1,2025-07-11T14:09:18.674470
multi_dataset_20250711_140522,conversational,Conversational Q&A format,TriviaQA,8,Who was the next British Prime Minister after Arthur Balfour,Q: Who was the next British Prime Minister after Arthur Balfour A:,Sir Henry Campbell-Bannerman,,0.0,0.0,0.0,0,2025-07-11T14:09:18.959025
multi_dataset_20250711_140522,basic,Baseline - no prompt engineering,TriviaQA,6,Who was the man behind The Chipmunks,Who was the man behind The Chipmunks,David Seville,"ross bagdasarian, sr.",0.0,0.0,0.0,3,2025-07-11T14:09:21.365864
multi_dataset_20250711_140522,basic,Baseline - no prompt engineering,TriviaQA,7,Which Lloyd Webber musical premiered in the US on 10th December 1993,Which Lloyd Webber musical premiered in the US on 10th December 1993,Sunset Blvd,the goodbye girl,0.0,0.0,0.0,3,2025-07-11T14:09:22.061715
multi_dataset_20250711_140522,basic,Baseline - no prompt engineering,TriviaQA,8,Who was the next British Prime Minister after Arthur Balfour,Who was the next British Prime Minister after Arthur Balfour,Sir Henry Campbell-Bannerman,,0.0,0.0,0.0,0,2025-07-11T14:09:22.644391
