experiment_id,template,question_id,question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,question_type,timestamp
minimal_20250708_190148,question_mark,0,What is the capital of France,Paris,paris,1.0,1.0,1.0,1,Missing punctuation - question mark should help,2025-07-08T19:06:36.021037
minimal_20250708_190148,question_mark,1,Who wrote Hamlet,William Shakespeare,william shakespeare,1.0,1.0,1.0,2,Statement form - question mark should improve,2025-07-08T19:06:36.258221
minimal_20250708_190148,question_mark,2,When did World War II end,1945,2 september 1945,0.0,0.5,1.0,3,Missing question mark,2025-07-08T19:06:36.519200
minimal_20250708_190148,question_mark,3,Tell me the largest planet,Jupiter,greenwich,0.0,0.0,0.0,1,Command form - politeness might help,2025-07-08T19:06:36.773053
minimal_20250708_190148,question_mark,4,Give me the chemical symbol for gold,Au,Au,1.0,1.0,1.0,1,Imperative form - polite request better,2025-07-08T19:06:37.008253
minimal_20250708_190148,question_mark,5,What is the speed of light,299792458 meters per second,"299,792,458 metres per second",0.0,0.5,0.5,4,Could be vague - precision request should help,2025-07-08T19:06:37.326745
minimal_20250708_190148,question_mark,6,Population of Tokyo,37 million,"38,140,000",0.0,0.0,0.0,1,Incomplete question - precision should help,2025-07-08T19:06:37.596791
minimal_20250708_190148,question_mark,7,Photosynthesis,process where plants make food from sunlight,photosynthesis,0.0,0.0,0.0,1,Single word - 'what is' framing should help,2025-07-08T19:06:37.899533
minimal_20250708_190148,question_mark,8,Democracy,government by the people,democratic,0.0,0.0,0.0,1,Single concept - definition framing helps,2025-07-08T19:06:38.115388
minimal_20250708_190148,question_mark,9,What color is the sky?,blue,blue,1.0,1.0,1.0,1,Perfect question - basic should win,2025-07-08T19:06:38.381549
minimal_20250708_190148,question_mark,10,How many days in a week?,seven,seven,1.0,1.0,1.0,1,Simple count - basic should be fine,2025-07-08T19:06:38.603367
minimal_20250708_190148,question_mark,11,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,SQuAD baseline,2025-07-08T19:06:38.886335
minimal_20250708_190148,question_mark,12,When were the Normans in Normandy?,10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,SQuAD baseline,2025-07-08T19:06:39.218603
minimal_20250708_190148,question_mark,13,From which countries did the Norse originate,"Denmark, Iceland and Norway",sweden,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:06:39.480684
minimal_20250708_190148,question_mark,14,Who was the Norse leader,Rollo,cnut,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:06:39.751306
minimal_20250708_190148,question_mark,15,What century did the Normans first gain their separate identity?,10th century,the ninth century,0.0,0.4,0.5,3,SQuAD baseline,2025-07-08T19:06:40.020603
minimal_20250708_190148,question_mark,16,Who was the duke in the battle of Hastings?,William the Conqueror,william,0.0,0.5,0.3333333333333333,1,SQuAD baseline,2025-07-08T19:06:40.297662
minimal_20250708_190148,question_mark,17,Who ruled the duchy of Normandy,Richard I,king charles iii of west francia,0.0,0.0,0.0,6,SQuAD baseline,2025-07-08T19:06:40.620104
minimal_20250708_190148,question_mark,18,What religion were the Normans,Catholic,catholicism,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:06:40.923130
minimal_20250708_190148,question_mark,19,What is the original meaning of the word Norman?,Viking,north,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:06:41.193931
minimal_20250708_190148,question_mark,20,When was the Latin version of the word Norman first recorded?,9th century,9th century,1.0,1.0,1.0,2,SQuAD baseline,2025-07-08T19:06:41.466612
minimal_20250708_190148,question_mark,21,When was the Duchy of Normandy founded?,911,1066,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:06:41.750911
minimal_20250708_190148,question_mark,22,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with,King Charles III,charles the simple,0.0,0.3333333333333333,0.3333333333333333,3,SQuAD baseline,2025-07-08T19:06:42.131546
minimal_20250708_190148,question_mark,23,What river originally bounded the Duchy,Seine,,0.0,0.0,0.0,0,SQuAD baseline,2025-07-08T19:06:42.376399
minimal_20250708_190148,question_mark,24,Who upon arriving gave the original viking settlers a common identity,Rollo,the byzantines,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T19:06:42.658671
minimal_20250708_190148,question_mark,25,What was the Norman religion?,Catholicism,catholicism,1.0,1.0,1.0,1,SQuAD baseline,2025-07-08T19:06:42.937839
minimal_20250708_190148,question_mark,26,What part of France were the Normans located,north,west france,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T19:06:43.186277
minimal_20250708_190148,question_mark,27,What was one of the Norman's major exports?,fighting horsemen,"266,827",0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:06:43.412213
minimal_20250708_190148,question_mark,28,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia",Seljuk Turks,hohenstaufen,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:06:43.675313
minimal_20250708_190148,question_mark,29,When did Herve serve as a Byzantine general,1050s,1984 -- 86,0.0,0.0,0.0,3,SQuAD baseline,2025-07-08T19:06:43.952559
minimal_20250708_190148,question_mark,30,When did Robert Crispin go up against the Turks,1060s,862,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:06:44.186726
minimal_20250708_190148,question_mark,31,Who ruined Roussel de Bailleul's plans for an independent state?,Alexius Komnenos,henshaw,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:06:44.430844
minimal_20250708_190148,question_mark,32,What was the name of the Norman castle,Afranji,neath castle,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T19:06:44.738814
minimal_20250708_190148,question_mark,33,Who was the leader when the Franks entered the Euphrates valley?,Oursel,charles martel,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T19:06:45.029679
minimal_20250708_190148,question_mark,34,Who did the Normans team up with in Anatolia?,Turkish forces,turkey,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:06:45.298024
minimal_20250708_190148,question_mark,35,What were the origins of the Raouliii family?,Norman mercenary,english,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:06:45.549486
minimal_20250708_190148,question_mark,36,What was the name of the count of Apulia ,Robert Guiscard,armistice of villa giusti,0.0,0.0,0.0,4,SQuAD baseline,2025-07-08T19:06:45.872570
minimal_20250708_190148,question_mark,37,When did Dyrrachium  fall to the Normans?,1082,10th century,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T19:06:46.149030
minimal_20250708_190148,question_mark,38,How many men were in Robert's army?,"30,000","about 100,000 and 150,000",0.0,0.0,0.0,4,SQuAD baseline,2025-07-08T19:06:46.442317
minimal_20250708_190148,question_mark,39,Where did the Normans and Byzantines sign the peace treaty?,Deabolis,constantinople,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:06:46.720787
minimal_20250708_190148,question_mark,40,Who was Robert's son?,Bohemond,odo,0.0,0.0,0.0,1,SQuAD baseline,2025-07-08T19:06:46.980467
minimal_20250708_190148,question_mark,41,What river was Petrela located by,Deabolis,river irwell,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T19:06:47.236181
minimal_20250708_190148,question_mark,42,When did the Normans attack Dyrrachium,1185,october 1174,0.0,0.0,0.0,2,SQuAD baseline,2025-07-08T19:06:47.508384
