experiment_id,template,question_id,original_question,base_question,formatted_question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,had_original_question_mark,timestamp
question_mark_20250710_060653,without_question_mark,0,In what country is Normandy located?,In what country is Normandy located,In what country is Normandy located,France,france,1.0,1.0,1.0,1,True,2025-07-10T06:10:23.097793
question_mark_20250710_060653,without_question_mark,1,When were the Normans in Normandy?,When were the Normans in Normandy,When were the Normans in Normandy,10th and 11th centuries,911,0.0,0.0,0.0,1,True,2025-07-10T06:10:23.498129
question_mark_20250710_060653,without_question_mark,2,From which countries did the Norse originate?,From which countries did the Norse originate,From which countries did the Norse originate,"Denmark, Iceland and Norway",scandinavia,0.0,0.0,0.0,1,True,2025-07-10T06:10:23.858189
question_mark_20250710_060653,without_question_mark,3,Who was the Norse leader?,Who was the Norse leader,Who was the Norse leader,Rollo,cnut,0.0,0.0,0.0,1,True,2025-07-10T06:10:24.624456
question_mark_20250710_060653,without_question_mark,4,What century did the Normans first gain their separate identity?,What century did the Normans first gain their separate identity,What century did the Normans first gain their separate identity,10th century,the ninth century,0.0,0.4,0.5,3,True,2025-07-10T06:10:25.102441
question_mark_20250710_060653,without_question_mark,5,Who was the duke in the battle of Hastings?,Who was the duke in the battle of Hastings,Who was the duke in the battle of Hastings,William the Conqueror,william,0.0,0.5,0.3333333333333333,1,True,2025-07-10T06:10:25.604404
question_mark_20250710_060653,without_question_mark,6,Who ruled the duchy of Normandy,Who ruled the duchy of Normandy,Who ruled the duchy of Normandy,Richard I,king charles iii of west francia,0.0,0.0,0.0,6,False,2025-07-10T06:10:25.801536
question_mark_20250710_060653,without_question_mark,7,What religion were the Normans,What religion were the Normans,What religion were the Normans,Catholic,catholicism,0.0,0.0,0.0,1,False,2025-07-10T06:10:26.271030
question_mark_20250710_060653,without_question_mark,8,What is the original meaning of the word Norman?,What is the original meaning of the word Norman,What is the original meaning of the word Norman,Viking,north,0.0,0.0,0.0,1,True,2025-07-10T06:10:26.875281
question_mark_20250710_060653,without_question_mark,9,When was the Latin version of the word Norman first recorded?,When was the Latin version of the word Norman first recorded,When was the Latin version of the word Norman first recorded,9th century,1024,0.0,0.0,0.0,1,True,2025-07-10T06:10:27.525366
question_mark_20250710_060653,without_question_mark,10,When was the Duchy of Normandy founded?,When was the Duchy of Normandy founded,When was the Duchy of Normandy founded,911,1066,0.0,0.0,0.0,1,True,2025-07-10T06:10:27.675158
question_mark_20250710_060653,without_question_mark,11,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with,King Charles III,charles martel,0.0,0.4,0.3333333333333333,2,True,2025-07-10T06:10:28.172481
