experiment_id,template,template_purpose,question_id,question,formatted_prompt,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,timestamp
seven_template_20250711_065702,question_mark,Test punctuation impact,0,In what country is Normandy located,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,2025-07-11T07:01:47.139641
seven_template_20250711_065702,question_mark,Test punctuation impact,1,When were the Normans in Normandy,When were the Normans in Normandy?,10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,2025-07-11T07:01:47.614518
seven_template_20250711_065702,question_mark,Test punctuation impact,2,From which countries did the Norse originate,From which countries did the Norse originate?,"Denmark, Iceland and Norway",sweden,0.0,0.0,0.0,1,2025-07-11T07:01:47.847569
seven_template_20250711_065702,question_mark,Test punctuation impact,3,Who was the Norse leader,Who was the Norse leader?,Rollo,cnut,0.0,0.0,0.0,1,2025-07-11T07:01:48.058265
seven_template_20250711_065702,question_mark,Test punctuation impact,4,What century did the Normans first gain their separate identity,What century did the Normans first gain their separate identity?,10th century,the ninth century,0.0,0.4,0.5,3,2025-07-11T07:01:48.363910
seven_template_20250711_065702,question_mark,Test punctuation impact,5,Who was the duke in the battle of Hastings,Who was the duke in the battle of Hastings?,William the Conqueror,william,0.0,0.5,0.3333333333333333,1,2025-07-11T07:01:48.756175
seven_template_20250711_065702,question_mark,Test punctuation impact,6,Who ruled the duchy of Normandy,Who ruled the duchy of Normandy?,Richard I,king charles iii of west francia,0.0,0.0,0.0,6,2025-07-11T07:01:49.052425
seven_template_20250711_065702,question_mark,Test punctuation impact,7,What religion were the Normans,What religion were the Normans?,Catholic,catholicism,0.0,0.0,0.0,1,2025-07-11T07:01:49.276191
seven_template_20250711_065702,question_mark,Test punctuation impact,8,What is the original meaning of the word Norman,What is the original meaning of the word Norman?,Viking,north,0.0,0.0,0.0,1,2025-07-11T07:01:49.574298
seven_template_20250711_065702,question_mark,Test punctuation impact,9,When was the Latin version of the word Norman first recorded,When was the Latin version of the word Norman first recorded?,9th century,1024,0.0,0.0,0.0,1,2025-07-11T07:01:49.789810
seven_template_20250711_065702,question_mark,Test punctuation impact,10,When was the Duchy of Normandy founded,When was the Duchy of Normandy founded?,911,1066,0.0,0.0,0.0,1,2025-07-11T07:01:50.052502
seven_template_20250711_065702,question_mark,Test punctuation impact,11,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,King Charles III,charles the simple,0.0,0.3333333333333333,0.3333333333333333,3,2025-07-11T07:01:50.410829
seven_template_20250711_065702,question_mark,Test punctuation impact,12,What river originally bounded the Duchy,What river originally bounded the Duchy?,Seine,,0.0,0.0,0.0,0,2025-07-11T07:01:50.621916
seven_template_20250711_065702,question_mark,Test punctuation impact,13,Who upon arriving gave the original viking settlers a common identity,Who upon arriving gave the original viking settlers a common identity?,Rollo,the byzantines,0.0,0.0,0.0,2,2025-07-11T07:01:50.976138
seven_template_20250711_065702,question_mark,Test punctuation impact,14,What was the Norman religion,What was the Norman religion?,Catholicism,catholicism,1.0,1.0,1.0,1,2025-07-11T07:01:51.211342
seven_template_20250711_065702,question_mark,Test punctuation impact,15,What part of France were the Normans located,What part of France were the Normans located?,north,west france,0.0,0.0,0.0,2,2025-07-11T07:01:51.525784
seven_template_20250711_065702,question_mark,Test punctuation impact,16,What was one of the Norman's major exports,What was one of the Norman's major exports?,fighting horsemen,cloth,0.0,0.0,0.0,1,2025-07-11T07:01:51.745490
seven_template_20250711_065702,question_mark,Test punctuation impact,17,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia","Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?",Seljuk Turks,hohenstaufen,0.0,0.0,0.0,1,2025-07-11T07:01:52.098911
seven_template_20250711_065702,question_mark,Test punctuation impact,18,When did Herve serve as a Byzantine general,When did Herve serve as a Byzantine general?,1050s,1984 -- 86,0.0,0.0,0.0,3,2025-07-11T07:01:52.338714
seven_template_20250711_065702,question_mark,Test punctuation impact,19,When did Robert Crispin go up against the Turks,When did Robert Crispin go up against the Turks?,1060s,862,0.0,0.0,0.0,1,2025-07-11T07:01:52.569579
seven_template_20250711_065702,question_mark,Test punctuation impact,20,Who ruined Roussel de Bailleul's plans for an independent state,Who ruined Roussel de Bailleul's plans for an independent state?,Alexius Komnenos,henshaw,0.0,0.0,0.0,1,2025-07-11T07:01:52.910053
seven_template_20250711_065702,question_mark,Test punctuation impact,21,What was the name of the Norman castle,What was the name of the Norman castle?,Afranji,neath castle,0.0,0.0,0.0,2,2025-07-11T07:01:53.081477
seven_template_20250711_065702,question_mark,Test punctuation impact,22,Who was the leader when the Franks entered the Euphrates valley,Who was the leader when the Franks entered the Euphrates valley?,Oursel,theudebert i,0.0,0.0,0.0,2,2025-07-11T07:01:53.320132
seven_template_20250711_065702,question_mark,Test punctuation impact,23,Who did the Normans team up with in Anatolia,Who did the Normans team up with in Anatolia?,Turkish forces,turkey,0.0,0.0,0.0,1,2025-07-11T07:01:53.554339
seven_template_20250711_065702,question_mark,Test punctuation impact,24,What were the origins of the Raouliii family,What were the origins of the Raouliii family?,Norman mercenary,english,0.0,0.0,0.0,1,2025-07-11T07:01:53.833692
seven_template_20250711_065702,question_mark,Test punctuation impact,25,What was the name of the count of Apulia,What was the name of the count of Apulia?,Robert Guiscard,armistice of villa giusti,0.0,0.0,0.0,4,2025-07-11T07:01:54.207948
seven_template_20250711_065702,question_mark,Test punctuation impact,26,When did Dyrrachium  fall to the Normans,When did Dyrrachium  fall to the Normans?,1082,10th century,0.0,0.0,0.0,2,2025-07-11T07:01:54.504243
seven_template_20250711_065702,question_mark,Test punctuation impact,27,How many men were in Robert's army,How many men were in Robert's army?,"30,000","1,000,000",0.0,0.0,0.0,1,2025-07-11T07:01:54.872731
seven_template_20250711_065702,question_mark,Test punctuation impact,28,Where did the Normans and Byzantines sign the peace treaty,Where did the Normans and Byzantines sign the peace treaty?,Deabolis,constantinople,0.0,0.0,0.0,1,2025-07-11T07:01:55.162956
seven_template_20250711_065702,question_mark,Test punctuation impact,29,Who was Robert's son,Who was Robert's son?,Bohemond,steffon,0.0,0.0,0.0,1,2025-07-11T07:01:55.562627
seven_template_20250711_065702,question_mark,Test punctuation impact,30,What river was Petrela located by,What river was Petrela located by?,Deabolis,river irwell,0.0,0.0,0.0,2,2025-07-11T07:01:55.789395
seven_template_20250711_065702,question_mark,Test punctuation impact,31,When did the Normans attack Dyrrachium,When did the Normans attack Dyrrachium?,1185,october 1174,0.0,0.0,0.0,2,2025-07-11T07:01:56.038956
seven_template_20250711_065702,question_mark,Test punctuation impact,32,What was the naval base called,What was the naval base called?,Dyrrachium,guantanamo bay naval base,0.0,0.0,0.0,4,2025-07-11T07:01:56.357362
