experiment_id,template,template_purpose,dataset,question_id,question,formatted_prompt,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,timestamp
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,0,In what country is Normandy located,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,2025-07-11T15:30:34.215197
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,1,When were the Normans in Normandy,When were the Normans in Normandy?,10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,2025-07-11T15:30:34.626622
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,2,From which countries did the Norse originate,From which countries did the Norse originate?,"Denmark, Iceland and Norway",sweden,0.0,0.0,0.0,1,2025-07-11T15:30:35.187625
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,3,Who was the Norse leader,Who was the Norse leader?,Rollo,cnut,0.0,0.0,0.0,1,2025-07-11T15:30:35.381412
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,4,What century did the Normans first gain their separate identity,What century did the Normans first gain their separate identity?,10th century,the ninth century,0.0,0.4,0.5,3,2025-07-11T15:30:35.790912
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,5,Who was the duke in the battle of Hastings,Who was the duke in the battle of Hastings?,William the Conqueror,william,0.0,0.5,0.3333333333333333,1,2025-07-11T15:30:36.362023
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,6,Who ruled the duchy of Normandy,Who ruled the duchy of Normandy?,Richard I,king charles iii of west francia,0.0,0.0,0.0,6,2025-07-11T15:30:36.581136
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,7,What religion were the Normans,What religion were the Normans?,Catholic,catholicism,0.0,0.0,0.0,1,2025-07-11T15:30:37.323623
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,8,What is the original meaning of the word Norman,What is the original meaning of the word Norman?,Viking,north,0.0,0.0,0.0,1,2025-07-11T15:30:37.930815
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,9,When was the Latin version of the word Norman first recorded,When was the Latin version of the word Norman first recorded?,9th century,1024,0.0,0.0,0.0,1,2025-07-11T15:30:38.483786
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,10,When was the Duchy of Normandy founded,When was the Duchy of Normandy founded?,911,1066,0.0,0.0,0.0,1,2025-07-11T15:30:38.749691
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,11,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,King Charles III,charles the simple,0.0,0.3333333333333333,0.3333333333333333,3,2025-07-11T15:30:39.087580
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,12,What river originally bounded the Duchy,What river originally bounded the Duchy?,Seine,,0.0,0.0,0.0,0,2025-07-11T15:30:39.521304
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,13,Who upon arriving gave the original viking settlers a common identity,Who upon arriving gave the original viking settlers a common identity?,Rollo,the byzantines,0.0,0.0,0.0,2,2025-07-11T15:30:39.917149
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,14,What was the Norman religion,What was the Norman religion?,Catholicism,catholicism,1.0,1.0,1.0,1,2025-07-11T15:30:40.072104
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,15,What part of France were the Normans located,What part of France were the Normans located?,north,west france,0.0,0.0,0.0,2,2025-07-11T15:30:40.534493
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,16,What was one of the Norman's major exports,What was one of the Norman's major exports?,fighting horsemen,cloth,0.0,0.0,0.0,1,2025-07-11T15:30:41.029413
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,17,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia","Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?",Seljuk Turks,hohenstaufen,0.0,0.0,0.0,1,2025-07-11T15:30:41.845909
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,18,When did Herve serve as a Byzantine general,When did Herve serve as a Byzantine general?,1050s,1984 -- 86,0.0,0.0,0.0,3,2025-07-11T15:30:42.309479
multi_dataset_20250711_152616,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,19,When did Robert Crispin go up against the Turks,When did Robert Crispin go up against the Turks?,1060s,862,0.0,0.0,0.0,1,2025-07-11T15:30:42.866762
