experiment_id,template,question_id,question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,timestamp
official_rag_prompt_engineering_20250705_173534,instructional,0,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,2025-07-05T17:38:53.998906
official_rag_prompt_engineering_20250705_173534,instructional,1,When were the Normans in Normandy?,10th and 11th centuries,10th century -- 15th century,0.0,0.25,0.25,5,2025-07-05T17:38:54.197448
official_rag_prompt_engineering_20250705_173534,instructional,2,From which countries did the Norse originate?,"Denmark, Iceland and Norway",iceland,0.0,0.4,0.25,1,2025-07-05T17:38:54.346142
official_rag_prompt_engineering_20250705_173534,instructional,3,Who was the Norse leader?,Rollo,whoopi goldberg,0.0,0.0,0.0,2,2025-07-05T17:38:54.525546
official_rag_prompt_engineering_20250705_173534,instructional,4,What century did the Normans first gain their separate identity?,10th century,the ninth century,0.0,0.4,0.5,3,2025-07-05T17:38:54.672705
official_rag_prompt_engineering_20250705_173534,instructional,5,Who was the duke in the battle of Hastings?,William the Conqueror,normandy duke of normandy,0.0,0.0,0.0,4,2025-07-05T17:38:54.847335
official_rag_prompt_engineering_20250705_173534,instructional,6,Who ruled the duchy of Normandy,Richard I,king charles iii,0.0,0.0,0.0,3,2025-07-05T17:38:55.028504
official_rag_prompt_engineering_20250705_173534,instructional,7,What religion were the Normans,Catholic,islam,0.0,0.0,0.0,1,2025-07-05T17:38:55.189308
official_rag_prompt_engineering_20250705_173534,instructional,8,What is the original meaning of the word Norman?,Viking,norman,0.0,0.0,0.0,1,2025-07-05T17:38:55.322452
official_rag_prompt_engineering_20250705_173534,instructional,9,When was the Latin version of the word Norman first recorded?,9th century,the 6th century ad,0.0,0.3333333333333333,0.5,4,2025-07-05T17:38:55.477651
official_rag_prompt_engineering_20250705_173534,instructional,10,When was the Duchy of Normandy founded?,911,1066,0.0,0.0,0.0,1,2025-07-05T17:38:55.605927
official_rag_prompt_engineering_20250705_173534,instructional,11,Who did Rollo sign the treaty of Saint-Clair-sur-Epte with?,King Charles III,the franks,0.0,0.0,0.0,2,2025-07-05T17:38:55.788894
official_rag_prompt_engineering_20250705_173534,instructional,12,What river originally bounded the Duchy,Seine,rhode island,0.0,0.0,0.0,2,2025-07-05T17:38:55.937280
official_rag_prompt_engineering_20250705_173534,instructional,13,Who upon arriving gave the original viking settlers a common identity?,Rollo,the Normans,0.0,0.0,0.0,2,2025-07-05T17:38:56.084091
official_rag_prompt_engineering_20250705_173534,instructional,14,What was the Norman religion?,Catholicism,christianity,0.0,0.0,0.0,1,2025-07-05T17:38:56.226556
official_rag_prompt_engineering_20250705_173534,instructional,15,What part of France were the Normans located?,north,what is now france,0.0,0.0,0.0,4,2025-07-05T17:38:56.383223
official_rag_prompt_engineering_20250705_173534,instructional,16,What was one of the Norman's major exports?,fighting horsemen,"266,827",0.0,0.0,0.0,1,2025-07-05T17:38:56.533513
official_rag_prompt_engineering_20250705_173534,instructional,17,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?",Seljuk Turks,byzantine empire,0.0,0.0,0.0,2,2025-07-05T17:38:56.690715
official_rag_prompt_engineering_20250705_173534,instructional,18,When did Herve serve as a Byzantine general?,1050s,during the byzantine war,0.0,0.0,0.0,4,2025-07-05T17:38:56.852653
official_rag_prompt_engineering_20250705_173534,instructional,19,When did Robert Crispin go up against the Turks?,1060s,1998,0.0,0.0,0.0,1,2025-07-05T17:38:57.016915
