experiment_id,template,question_id,question,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,question_type,timestamp
targeted_fix_20250814_051741,retrieval_focused,0,What is the capital of France?,Paris,paris,1.0,1.0,1.0,1,Simple fact - retrieval should help,2025-08-14T05:23:15.810709
targeted_fix_20250814_051741,retrieval_focused,1,Who wrote Romeo and Juliet?,William Shakespeare,william shakespeare,1.0,1.0,1.0,2,Basic fact - retrieval should be clear,2025-08-14T05:23:16.124299
targeted_fix_20250814_051741,retrieval_focused,2,What is 2 plus 2?,4,factorials n!,0.0,0.0,0.0,2,Simple math - should be straightforward,2025-08-14T05:23:16.479893
targeted_fix_20250814_051741,retrieval_focused,3,What is photosynthesis?,process where plants make food from sunlight,,0.0,0.0,0.0,0,Knowledge synthesis should explain better,2025-08-14T05:23:16.931998
targeted_fix_20250814_051741,retrieval_focused,4,How do computers work?,they process information using electrical circuits,what turns you on?,0.0,0.0,0.0,4,Synthesis should give better explanation,2025-08-14T05:23:17.640037
targeted_fix_20250814_051741,retrieval_focused,5,Name three colors,red blue green,red,0.0,0.5,0.3333333333333333,1,Clear instruction should structure answer,2025-08-14T05:23:17.886410
targeted_fix_20250814_051741,retrieval_focused,6,List two animals,cat dog,cat,0.0,0.6666666666666666,0.5,1,Clear instruction should help with listing,2025-08-14T05:23:18.126624
targeted_fix_20250814_051741,retrieval_focused,7,Why is water important?,essential for life and survival,health,0.0,0.0,0.0,1,Context should provide better reasoning,2025-08-14T05:23:18.618724
targeted_fix_20250814_051741,retrieval_focused,8,What makes plants green?,chlorophyll,chlorophyll,1.0,1.0,1.0,1,Context should identify specific cause,2025-08-14T05:23:19.215308
targeted_fix_20250814_051741,retrieval_focused,9,Is the Earth round?,yes,factorials n!,0.0,0.0,0.0,2,Direct confidence should be clear,2025-08-14T05:23:20.499379
targeted_fix_20250814_051741,retrieval_focused,10,Do birds fly?,yes,,0.0,0.0,0.0,0,Direct answer should be confident,2025-08-14T05:23:21.051017
targeted_fix_20250814_051741,retrieval_focused,11,What are the primary colors?,red yellow blue,blue,0.0,0.5,0.3333333333333333,1,Structure should organize the list,2025-08-14T05:23:21.538064
targeted_fix_20250814_051741,retrieval_focused,12,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,SQuAD baseline,2025-08-14T05:23:22.059168
targeted_fix_20250814_051741,retrieval_focused,13,When were the Normans in Normandy?,10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,SQuAD baseline,2025-08-14T05:23:22.898998
targeted_fix_20250814_051741,retrieval_focused,14,From which countries did the Norse originate?,"Denmark, Iceland and Norway",iceland,0.0,0.4,0.25,1,SQuAD baseline,2025-08-14T05:23:23.261586
