experiment_id,template,template_purpose,dataset,question_id,question,formatted_prompt,true_answer,generated_answer,exact_match,f1_score,token_overlap,answer_length,timestamp
multi_dataset_20250711_140522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,0,In what country is Normandy located,In what country is Normandy located?,France,france,1.0,1.0,1.0,1,2025-07-11T14:08:54.838759
multi_dataset_20250711_140522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,1,When were the Normans in Normandy,When were the Normans in Normandy?,10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,2025-07-11T14:08:55.382090
multi_dataset_20250711_140522,question_mark,Minimal punctuation enhancement - proven 1-3% improvement,SQuAD,2,From which countries did the Norse originate,From which countries did the Norse originate?,"Denmark, Iceland and Norway",sweden,0.0,0.0,0.0,1,2025-07-11T14:08:55.795786
multi_dataset_20250711_140522,precise_instruction,Explicit instruction for precision and brevity,SQuAD,0,In what country is Normandy located,"Give a factual, concise answer to: In what country is Normandy located",France,france,1.0,1.0,1.0,1,2025-07-11T14:08:59.191940
multi_dataset_20250711_140522,precise_instruction,Explicit instruction for precision and brevity,SQuAD,1,When were the Normans in Normandy,"Give a factual, concise answer to: When were the Normans in Normandy",10th and 11th centuries,10th and 13th centuries,0.0,0.75,0.75,4,2025-07-11T14:08:59.434161
multi_dataset_20250711_140522,precise_instruction,Explicit instruction for precision and brevity,SQuAD,2,From which countries did the Norse originate,"Give a factual, concise answer to: From which countries did the Norse originate","Denmark, Iceland and Norway",iceland,0.0,0.4,0.25,1,2025-07-11T14:08:59.883238
multi_dataset_20250711_140522,retrieval_focused,Explicitly leverages RAG's retrieval mechanism,SQuAD,0,In what country is Normandy located,"Based on retrieved information, answer: In what country is Normandy located",France,france,1.0,1.0,1.0,1,2025-07-11T14:09:02.809970
multi_dataset_20250711_140522,retrieval_focused,Explicitly leverages RAG's retrieval mechanism,SQuAD,1,When were the Normans in Normandy,"Based on retrieved information, answer: When were the Normans in Normandy",10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,2025-07-11T14:09:03.115169
multi_dataset_20250711_140522,retrieval_focused,Explicitly leverages RAG's retrieval mechanism,SQuAD,2,From which countries did the Norse originate,"Based on retrieved information, answer: From which countries did the Norse originate","Denmark, Iceland and Norway",iceland,0.0,0.4,0.25,1,2025-07-11T14:09:03.598034
multi_dataset_20250711_140522,confident_direct,Direct command for confident responses,SQuAD,0,In what country is Normandy located,Answer directly: In what country is Normandy located,France,france,1.0,1.0,1.0,1,2025-07-11T14:09:06.876717
multi_dataset_20250711_140522,confident_direct,Direct command for confident responses,SQuAD,1,When were the Normans in Normandy,Answer directly: When were the Normans in Normandy,10th and 11th centuries,northern region of france,0.0,0.0,0.0,4,2025-07-11T14:09:07.186844
multi_dataset_20250711_140522,confident_direct,Direct command for confident responses,SQuAD,2,From which countries did the Norse originate,Answer directly: From which countries did the Norse originate,"Denmark, Iceland and Norway",iceland,0.0,0.4,0.25,1,2025-07-11T14:09:07.543627
multi_dataset_20250711_140522,context_guided,Emphasizes context utilization,SQuAD,0,In what country is Normandy located,"Using available context, answer: In what country is Normandy located",France,france,1.0,1.0,1.0,1,2025-07-11T14:09:11.295233
multi_dataset_20250711_140522,context_guided,Emphasizes context utilization,SQuAD,1,When were the Normans in Normandy,"Using available context, answer: When were the Normans in Normandy",10th and 11th centuries,9th century -- 9th century,0.0,0.0,0.0,5,2025-07-11T14:09:11.494635
multi_dataset_20250711_140522,context_guided,Emphasizes context utilization,SQuAD,2,From which countries did the Norse originate,"Using available context, answer: From which countries did the Norse originate","Denmark, Iceland and Norway",iceland,0.0,0.4,0.25,1,2025-07-11T14:09:11.776206
multi_dataset_20250711_140522,conversational,Conversational Q&A format,SQuAD,0,In what country is Normandy located,Q: In what country is Normandy located A:,France,france,1.0,1.0,1.0,1,2025-07-11T14:09:15.129190
multi_dataset_20250711_140522,conversational,Conversational Q&A format,SQuAD,1,When were the Normans in Normandy,Q: When were the Normans in Normandy A:,10th and 11th centuries,9th century,0.0,0.0,0.0,2,2025-07-11T14:09:15.540712
multi_dataset_20250711_140522,conversational,Conversational Q&A format,SQuAD,2,From which countries did the Norse originate,Q: From which countries did the Norse originate A:,"Denmark, Iceland and Norway",norway,0.0,0.4,0.25,1,2025-07-11T14:09:15.713273
multi_dataset_20250711_140522,basic,Baseline - no prompt engineering,SQuAD,0,In what country is Normandy located,In what country is Normandy located,France,france,1.0,1.0,1.0,1,2025-07-11T14:09:19.127874
multi_dataset_20250711_140522,basic,Baseline - no prompt engineering,SQuAD,1,When were the Normans in Normandy,When were the Normans in Normandy,10th and 11th centuries,911,0.0,0.0,0.0,1,2025-07-11T14:09:19.359125
multi_dataset_20250711_140522,basic,Baseline - no prompt engineering,SQuAD,2,From which countries did the Norse originate,From which countries did the Norse originate,"Denmark, Iceland and Norway",scandinavia,0.0,0.0,0.0,1,2025-07-11T14:09:19.830094
